lease_id,hostname,name,beg,end
2328,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 04:00:00,2016-03-26 05:00:00.000
597,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 05:00:00,2016-03-26 06:00:00.000
623,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 06:00:00,2016-03-26 07:00:00.000
2387,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-26 07:00:00,2016-03-26 08:00:00.000
666,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-26 08:00:00,2016-03-26 09:00:00.000
678,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 09:00:00,2016-03-26 10:00:00.000
702,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 10:00:00,2016-03-26 11:00:00.000
716,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 11:00:00,2016-03-26 12:00:00.000
2485,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 12:00:00,2016-03-26 13:00:00.000
2507,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 13:00:00,2016-03-26 14:00:00.000
2526,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 14:00:00,2016-03-26 15:00:00.000
819,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-26 15:00:00,2016-03-26 16:00:00.000
828,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 16:00:00,2016-03-26 17:00:00.000
861,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 17:00:00,2016-03-26 18:00:00.000
2615,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 18:00:00,2016-03-26 19:00:00.000
886,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 19:00:00,2016-03-26 20:00:00.000
2658,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-26 20:00:00,2016-03-26 21:00:00.000
2665,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-26 21:00:00,2016-03-26 22:00:00.000
936,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-26 22:00:00,2016-03-26 23:00:00.000
2681,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-27 04:00:00,2016-03-27 15:00:00.000
2701,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-27 15:00:00,2016-03-27 16:00:00.000
2702,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-27 16:00:00,2016-03-27 17:00:00.000
